,name,price,rating,review
0,Anti Theft Faux Leather,₹499.00,3.9 out of 5 stars,
1,A1 Fashion Bag for College School - Blue Double Pocket,₹675.00,Previous page,
2,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299.00",4.1 out of 5 stars,
3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565.00,4.3 out of 5 stars,
4,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,368 ratings"
5,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499.00,3.9 out of 5 stars,
6,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699.00,3.9 out of 5 stars,
7,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"₹1,188.00",4.3 out of 5 stars,
8,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹498.00,4.3 out of 5 stars,
9,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889.00,4.3 out of 5 stars,
10,Justify 55L Large Laptop Backpack With 3 Compartments Polyester Trendy Waterproof Travel Backpack,"₹1,799.00",Previous page,
11,"Chris & Kate Grey 16 Ltrs Water Resistant Polyester Backpack for School | College | With Laptop Compartment,",₹425.00,Previous page,
12,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹356.00,4.1 out of 5 stars,
13,Kuber Industries Women's Handkerchief Set (Cream),₹312.62,3.8 out of 5 stars,
14,Fiesto Fashion PU Leather Handbags With Sling Bag For Women Large Shoulder Tote Purse Top Handle Satchel (Combo Of 3),₹615.00,3.9 out of 5 stars,
15,ADISA women girls embroided sling bag,₹495,4.2 out of 5 stars,"1,412 ratings"
16,Lapis O Lupo Women Vegan Leather Handbags Flower Embroidered Bags Fashion Satchel Bags Top Handle,"₹1,039.00",4.2 out of 5 stars,
17,Skybags Polypropylene 46 Cms Travel Bag(DFACN1BLU_Blue),₹658.00,4.0 out of 5 stars,
18,DEIN KLEIDER Men's Nylon Messenger Bag,₹349.00,4.0 out of 5 stars,
19,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499.00,4.0 out of 5 stars,
20,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Brown,"₹1,039",4.4 out of 5 stars,"5,328 ratings"
21,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,₹849,3.9 out of 5 stars,"2,126 ratings"
22,Northzone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,₹510,5.0 out of 5 stars,2 ratings
23,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599.00,3.8 out of 5 stars,
24,Zeog 25 Ltrs Casual Waterproof Laptop Bag/Backpack for Men Women Boys & Girls Office/School/College/Travel Backpack | Zeog2blk,₹799.00,Previous page,
25,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424.00",4.3 out of 5 stars,
26,Anti Theft Faux Leather,₹499.00,3.9 out of 5 stars,
27,"Chris & Kate 42ltr Navy-Red Comfortable Casual, School Backpack",₹549,Previous page,
28,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999.00,3.9 out of 5 stars,
29,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299.00,4.1 out of 5 stars,
30,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512.00,4.1 out of 5 stars,
31,ADISA Laptop Backpack 31 Ltrs,₹499.00,4.0 out of 5 stars,
32,Half Moon 35 ltrs (33 cms)backpack(Navy Laptop Bags_navy blue),₹689.00,3.9 out of 5 stars,
33,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899.00,3.9 out of 5 stars,
34,"INOVERA Faux Leather Women Handbags Shoulder Hobo Bag Purse With Long Strap, 32L x 13B x 30H cm","₹1,399.00",4.1 out of 5 stars,
35,F Gear Raider 30 Liter Backpack with Rain Cover (.Marpat Navy Digital Camo),₹822.00,4.2 out of 5 stars,
36,HP 100 Lightweight Backpack for 15.6-inch Laptop with Elastic and Padded Shoulder Straps (Black),₹899,4.0 out of 5 stars,516 ratings
37,Zeog 25 Ltrs Casual Waterproof Laptop Bag/Backpack for Men Women Boys & Girls Office/School/College/Travel Backpack | Zeog2blk,₹799.00,Previous page,
